    Ps have (part) atoms    1.0000
dental erosion    Dental erosion is the breakdown of tooth structure caused by acid attacks on the teeth    0.8188
dental floss    Dental flosses are used for teeth    1.0000
dental fluorosis    Dental fluorosis is a cosmetic defect resulting in stained teeth    0.8161
dental gold    Dental gold is metal    1.0000
dental hygienist    Dental hygienists help people keep their teeth clean    0.7118
dental implant    Dental implants are implants    1.0000
dental nurse    Dental nurses have values    1.0000
dental office    Dental offices are located in hospitals    1.0000
dental pharmacology    Dental pharmacology relates to the study of drugs commonly used in the treatment of dental disease    0.7398
dental plan    Dental plans are benefits    1.0000
dental plaque    Dental plaque is the primary cause of gingivitis in genetically-susceptible individuals    0.7336
dental plate    A dental plate is a dental appliance    1.0000
dental problem    Dental problems associate with conditions    1.0000
dental procedure    A dental procedure is a medical procedure    1.0000
dental record    Dental records are located in dentists    1.0000
dental school    A dental school is a graduate school    1.0000
dental sealant    Dental sealants protect children's teeth and help prevent cavities    0.7611
dental specialist    Dental specialists treat disorder    1.0000
dental sponge    Dental sponges have a small sponge at the end of a handle, and are disposable    0.7603
dental star    Dental stars are the areas of yellow to brown dentin that fill the pulp cavity    0.8377
dental technician    A dental technician is a technician    1.0000
dentary tooth    Dentary teeth have about eight denticles and weak ridges    0.7007
dented eye    Dented eyes are common in snakes that are dehydrated or who have previously retained eye sheds    0.7945
denticle    A denticle is a tooth    1.0000
dentin    Dentin gives strength, fluoride hardens and stabilizes the crystals of teeth    0.7627
dentist    Dentists are doctors    1.0000
dentistry    Dentistry isa medicine    1.0000
dentofacial deformity    Dentofacial deformities can affect a person's ability to eat, speak and breathe properly    0.7820
denture    Dentures can drastically affect the way one eats, chews, tastes, and digests their food    0.7144
denturist    A denturist is a technician    1.0000
denunciation    Denunciation is a speech act    1.0000
deodorant    Deodorants help destroy bacteria and disguise odors    0.8048
deodorant crystal    Deodorant crystals are natural products of the earth    0.8235
deontic logic    Deontic logic is formal logic    1.0000
deoxygenated blood    Deoxygenated blood means that the blood has very little oxygen    0.8054
deoxyribonucleic acid    Deoxyribonucleic acid is a polymer    1.0000
deoxyribose    Deoxyribose has (part) chemical chain    1.0000
department    Departments issue statements    1.0000
department head    Department heads are heads    1.0000
department manager    Department managers talk to customers    1.0000
department of corrections    A department of corrections is a local department    1.0000
department of mathematics    Department of mathematics is an academic department    1.0000
department store    Department stores are located in shopping malls    1.0000
departure    A departure is an act    1.0000
departure tax    A departure tax is a tax    1.0000
dependability    Dependability is virtue    1.0000
dependant    A dependant is an acquirer    1.0000
dependence    Dependence isa state    1.0000
dependency    Dependency takes places    1.0000
dependent child    Dependent children need attention    1.0000
dependent clause    A dependent clause is a clause    1.0000
dependent offspring    Dependent offspring compete for limit resources    1.0000
dependent polymerase    Dependent polymerases have functions    1.0000
dependent variable    A dependent variable is a variable    1.0000
depersonalisation    Depersonalisation is dissociative disorder    1.0000
depersonalization    Depersonalization is objectification    1.0000
depicted object    A depicted object is a physical entity    1.0000
depiction    A depiction is a process    1.0000
depigmentation    Depigmentation is a colouration    1.0000
depilation    Depilation is a condition    1.0000
depilatory    Depilatories are chemicals that dissolve the hair so that it can be wiped or washed away    0.8198
depletion    Depletion threatens existence    1.0000
depletion region    Depletion regions present energy barriers    1.0000
deployment    Deployment is preparation    1.0000
depolarization    Depolarization is an effect    1.0000
deponent    A deponent is a witness    1.0000
depopulation    Depopulation is an environmental condition    1.0000
deportation    Deportation is rejection    1.0000
deportee    A deportee is a foreigner    1.0000
deposit    Deposits are security    1.0000
deposit account    A deposit account is a savings account    1.0000
depositary    A depositary is a facility    1.0000
deposition    Deposition occurs under unusual circumstances    1.0000
depositor    Depositors are investors    1.0000
depository library    A depository library is a repository    1.0000
depot    A depot is a station    1.0000
depravity    Depravity is transgression    1.0000
deprecation    Deprecation is disapproval    1.0000
depreciation    Depreciation is decrease    1.0000
depredation    Depredation is aggression    1.0000
depress patient    Depress patients benefit from counsel    1.0000
depressant    A depressant is a street drug    1.0000
depressant drug    Depressant drugs can cause effects closely resembling alcohol intoxication    0.7092
depressed fracture    A depressed fracture is a break    1.0000
depressive    A depressive is a sufferer    1.0000
depressive disorder    Depressive disorder is affective disorder    1.0000
depressive illness    Depressive illnesses involve a set of painful symptoms that can last for months, sometimes years    0.7401
deprivation    Deprivation is social control    1.0000
depth    Depth is calculated from height    1.0000
depth charge    Depth charge is a bomb    1.0000
depth contour    Depth contours are contour lines    1.0000
depth finder    A depth finder is an instrument    1.0000
depth gauge    A depth gauge is a gage    1.0000
depth perception    Depth perception is important in animals, such as hawks and owls, in order to hunt on the wing    0.7264
depth psychology    A depth psychology is psychotherapy    1.0000
deputation    Deputation is empowerment    1.0000
deputy    Deputies have (part) vacuoles    1.0000
deputy sheriff    Deputy sheriffs have departments    1.0000
derailment    A derailment is misfortune    1.0000
derby    A derby is a hat    1.0000
deregulation    Deregulation is liberations    1.0000
derelict    A derelict is a ship    1.0000
derepressed chromatin    Derepressed chromatin is characterized by acetylated histones    0.8478
derision    Derision is a message    1.0000
derivation    Derivations are drawing    1.0000
derivative    Derivatives are contracts    1.0000
derivative instrument    A derivative instrument is an instrument    1.0000
dermabrasion    Dermabrasion is when a surgeon sands the skin to remove the pigment    0.7691
dermal absorption    Dermal absorption means absorption through the skin    0.8069
dermal armor    Dermal armor makes up of plates    1.0000
dermal bone    Dermal bone forms directly in the skin from mesenchyme    0.7792
dermal denticle    Dermal denticles are the scales on the shark's skin    0.8632
dermal exposure    Dermal exposure refers to contamination of the skin with the product    0.7186
dermal neurofibroma    Dermal neurofibromas can cause disfigurement and affect function, depending on location and size    0.7082
dermal ossicle    Dermal ossicles are fused into a hard, internal test    0.7674
